0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
-3138.274329	-3173.075995	-2878.144727	-2842.292528	-69100.909722	-61944.797569	-66702.522838	-75839.804213
-1760.959835	-2785.429691	-2747.789353	-2782.635722	-29844.406825	-58835.938136	-44243.065327	-55958.106334
-4136.078553	-5350.359422	-5774.774346	-5707.473243	-130852.409405	-113912.446965	-122364.334448	-140019.955041
219.650593	-5481.832383	-4991.412758	-5441.711002	-59644.087809	-117559.067018	-89158.828754	-111600.427222
-3138.274329	-3173.075995	-2878.144727	-2842.292528	-69100.909722	-61944.797569	-66702.522838	-75839.804213
-1760.959835	-2785.429691	-2747.789353	-2782.635722	-29844.406825	-58835.938136	-44243.065327	-55958.106334
-4136.078553	-5350.359422	-5774.774346	-5707.473243	-130852.409405	-113912.446965	-122364.334448	-140019.955041
219.650593	-5481.832383	-4991.412758	-5441.711002	-59644.087809	-117559.067018	-89158.828754	-111600.427222
-5636.327641	-6005.936087	-5769.946369	-5702.578211	-130849.749547	-113907.641340	-122361.428721	-140017.518701
-6276.258084	-5735.524682	-5965.099450	-5785.749052	-59773.906740	-117880.373344	-87461.571391	-112474.872169
-5981.997369	-6222.278621	-5773.276779	-5703.785205	-130850.755376	-113908.222486	-122362.546308	-140018.748047
-563.353367	-5509.861470	-5108.044160	-5476.825592	-59659.331698	-117591.164123	-88953.080947	-111690.102421
-3835.067610	-5185.135327	-5779.579971	-5712.278868	-130855.337483	-113916.246762	-122367.843672	-140023.933652
-4015.870871	-5623.408332	-5582.795213	-5632.505492	-59717.312123	-117737.366883	-88246.721118	-112084.051917
-6521.769645	-6564.260312	-5769.968721	-5699.851298	-130847.402614	-113903.618026	-122359.238250	-140015.909376
-5015.440883	-5666.033109	-5758.368165	-5689.167164	-59739.909737	-117788.977061	-87896.268117	-112233.272163
-4143.119352	-5353.354556	-5781.993959	-5712.971772	-130855.292780	-113916.000893	-122368.000134	-140024.403039
315.897204	-5485.162793	-4969.128069	-5440.772228	-59647.105294	-117558.530576	-89168.462356	-111599.577856
-5582.079957	-5976.521191	-5776.160154	-5707.473243	-130851.895315	-113910.591770	-122364.356800	-140021.117332
-6250.710040	-5734.898834	-5960.763211	-5780.943427	-59775.940749	-117875.768885	-87475.787100	-112468.233701
-6000.839889	-6228.760627	-5775.422546	-5703.271115	-130847.894352	-113905.741442	-122360.311134	-140017.362239
-648.155886	-5511.180223	-5125.366762	-5475.842115	-59658.929367	-117589.755963	-88925.923577	-111697.813773
-3833.368878	-5197.160566	-5781.524573	-5713.441159	-130854.018730	-113915.464451	-122367.262526	-140024.067762
-3921.971193	-5619.742646	-5570.166477	-5623.564794	-59717.513289	-117728.381482	-88276.180717	-112066.751667
-4015.870871	-5623.408332	-5582.795213	-5632.505492	-59717.312123	-117737.366883	-88246.721118	-112084.051917
-6521.769645	-6564.260312	-5769.968721	-5699.851298	-130847.402614	-113903.618026	-122359.238250	-140015.909376
-5015.440883	-5666.033109	-5758.368165	-5689.167164	-59739.909737	-117788.977061	-87896.268117	-112233.272163
-4143.119352	-5353.354556	-5781.993959	-5712.971772	-130855.292780	-113916.000893	-122368.000134	-140024.403039
315.897204	-5485.162793	-4969.128069	-5440.772228	-59647.105294	-117558.530576	-89168.462356	-111599.577856
-5582.079957	-5976.521191	-5776.160154	-5707.473243	-130851.895315	-113910.591770	-122364.356800	-140021.117332
-6250.710040	-5734.898834	-5960.763211	-5780.943427	-59775.940749	-117875.768885	-87475.787100	-112468.233701
-6000.839889	-6228.760627	-5775.422546	-5703.271115	-130847.894352	-113905.741442	-122360.311134	-140017.362239
-648.155886	-5511.180223	-5125.366762	-5475.842115	-59658.929367	-117589.755963	-88925.923577	-111697.813773
-3833.368878	-5197.160566	-5781.524573	-5713.441159	-130854.018730	-113915.464451	-122367.262526	-140024.067762
-3921.971193	-5619.742646	-5570.166477	-5623.564794	-59717.513289	-117728.381482	-88276.180717	-112066.751667
-6504.022360	-6549.150532	-5773.768517	-5701.572383	-130846.620303	-113903.461564	-122359.350009	-140016.714038
-5083.636055	-5668.201228	-5768.627616	-5688.474260	-59742.390781	-117787.546550	-87878.967867	-112237.362532
-4210.085179	-5393.118309	-5782.932732	-5712.547089	-130852.387053	-113913.676311	-122365.943774	-140023.128989
345.870894	-5481.295941	-4979.096947	-5433.038525	-59643.819588	-117550.260431	-89166.830679	-111589.832495
-5540.416305	-5954.728240	-5775.713119	-5705.483938	-130847.313207	-113906.657863	-122360.601707	-140018.077495
-6224.133816	-5729.914395	-5953.498894	-5771.063956	-59775.493714	-117865.420027	-87493.444978	-112451.201672
-6031.573538	-6241.277604	-5776.897761	-5703.718150	-130845.905047	-113904.489744	-122359.282954	-140016.848149
-806.450940	-5513.415398	-5165.264626	-5475.708005	-59661.700983	-117588.392507	-88903.750647	-111702.887619
-3872.506782	-5231.179921	-5781.122241	-5712.457682	-130850.353044	-113912.670483	-122364.446207	-140021.899643
-3834.017078	-5613.461806	-5558.185942	-5612.187757	-59714.764025	-117716.378595	-88300.365305	-112043.997591
-6483.034072	-6530.464474	-5774.774346	-5700.924182	-130843.446355	-113901.092279	-122356.980724	-140014.948251
-5157.352109	-5668.670615	-5779.736433	-5685.702644	-59746.816426	-117783.500884	-87874.028131	-112234.725026
-4276.223990	-5429.976336	-5784.653817	-5713.664676	-130851.269466	-113913.095166	-122365.541442	-140023.307803
367.976769	-5482.145307	-4989.244639	-5430.445722	-59644.311326	-117546.348875	-89168.372949	-111582.724641
345.870894	-5481.295941	-4979.096947	-5433.038525	-59643.819588	-117550.260431	-89166.830679	-111589.832495
-5540.416305	-5954.728240	-5775.713119	-5705.483938	-130847.313207	-113906.657863	-122360.601707	-140018.077495
-6224.133816	-5729.914395	-5953.498894	-5771.063956	-59775.493714	-117865.420027	-87493.444978	-112451.201672
-6031.573538	-6241.277604	-5776.897761	-5703.718150	-130845.905047	-113904.489744	-122359.282954	-140016.848149
-806.450940	-5513.415398	-5165.264626	-5475.708005	-59661.700983	-117588.392507	-88903.750647	-111702.887619
-3872.506782	-5231.179921	-5781.122241	-5712.457682	-130850.353044	-113912.670483	-122364.446207	-140021.899643
-3834.017078	-5613.461806	-5558.185942	-5612.187757	-59714.764025	-117716.378595	-88300.365305	-112043.997591
-6483.034072	-6530.464474	-5774.774346	-5700.924182	-130843.446355	-113901.092279	-122356.980724	-140014.948251
-5157.352109	-5668.670615	-5779.736433	-5685.702644	-59746.816426	-117783.500884	-87874.028131	-112234.725026
-4276.223990	-5429.976336	-5784.653817	-5713.664676	-130851.269466	-113913.095166	-122365.541442	-140023.307803
367.976769	-5482.145307	-4989.244639	-5430.445722	-59644.311326	-117546.348875	-89168.372949	-111582.724641
-5504.698217	-5939.551406	-5780.205820	-5708.926107	-130848.117870	-113908.267189	-122362.278087	-140020.290318
-6208.755816	-5729.243842	-5954.951758	-5765.811296	-59783.227418	-117858.893318	-87523.508075	-112435.644857
-6050.393707	-6252.744049	-5778.551791	-5706.266249	-130845.860344	-113905.093241	-122359.998209	-140018.278661
-880.725787	-5518.668058	-5162.560065	-5478.457269	-59669.389983	-117589.219521	-88897.246289	-111705.346311
-3804.602182	-5199.440443	-5788.766538	-5718.269136	-130853.526992	-113916.537335	-122368.469521	-140026.593510
-3696.866774	-5614.825262	-5537.555282	-5608.924402	-59717.781510	-117711.908247	-88332.283596	-112027.814928
-6483.794032	-6533.101980	-5779.490564	-5707.070912	-130846.866172	-113905.137945	-122361.138148	-140019.753876
-5231.872825	-5674.526772	-5797.930753	-5689.234220	-59759.959252	-117785.221968	-87876.643285	-112237.764864
-4256.777973	-5416.744103	-5788.654779	-5717.799749	-130852.610571	-113915.084471	-122367.597803	-140025.990012
503.316582	-5484.179316	-4943.445914	-5429.104618	-59645.741838	-117543.532556	-89182.253382	-111572.509893
